Fecha,Hora,Categoría,Ubicación,Género,Código Cliente,Cliente Recurrente,Proveedor,Nombre del producto,Marca,Precio unitario,Cantidad_vendida,Ingresos,CompraAlta,Categoría_num,Ubicación_num,Género_num
2020-01-14,05:48:12.423105,Zapatos,Tienda C,Femenino,1039,0,Proveedor D,Botas de Invierno,Timberland,80,1,80,0,4,3,0
2020-01-14,16:45:43.885971,Accesorios,Online,No especificado,1064,0,Proveedor A,Cinturón,Grant,15,1,15,0,1,0,2
2020-01-15,03:43:15.348837,Abrigos,Tienda C,No especificado,1021,1,Proveedor C,Abrigo Largo,Langford Parka,100,1,100,0,0,3,2
2020-01-15,14:40:46.811702,Accesorios,Online,Masculino,1033,0,Proveedor B,Bufanda,Check,12,1,12,0,1,0,1
2020-01-16,01:38:18.274568,Pantalones,Tienda A,Femenino,1014,1,Proveedor A,Pantalón Chino,Dockers,35,1,35,0,3,1,0
2020-01-16,12:35:49.737434,Pantalones,Tienda C,No especificado,1074,0,Proveedor C,Pantalón Deportivo,Adidas,30,1,30,0,3,3,2
2020-01-16,23:33:21.200300,Zapatos,Tienda C,Masculino,1009,1,Proveedor B,Botas de Invierno,Timberland,80,1,80,0,4,3,1
2020-01-17,10:30:52.663165,Camisetas,Tienda C,Masculino,1088,0,Proveedor D,Camiseta Casual,Uniqlo,25,1,25,0,2,3,1
2020-01-17,21:28:24.126031,Zapatos,Tienda B,No especificado,1086,1,Proveedor B,Zapatos Formales,Allen Edmonds,70,1,70,0,4,2,2
2020-01-18,08:25:55.588897,Camisetas,Tienda C,No especificado,1079,1,Proveedor C,Camiseta Deportiva,Nike,20,1,20,0,2,3,2
2020-01-18,19:23:27.051762,Camisetas,Tienda A,Femenino,1034,0,Proveedor C,Camiseta Básica,Gildan,15,1,15,0,2,1,0
2020-01-19,06:20:58.514628,Abrigos,Tienda A,No especificado,1092,1,Proveedor B,Abrigo Largo,Langford Parka,100,1,100,0,0,1,2
2020-01-19,17:18:29.977494,Pantalones,Tienda B,No especificado,1033,1,Proveedor A,Pantalón Chino,Dockers,35,1,35,0,3,2,2
2020-01-20,04:16:01.440360,Abrigos,Tienda C,Femenino,1077,0,Proveedor C,Abrigo Largo,Canada Goose,100,1,100,0,0,3,0
2020-01-20,15:13:32.903225,Zapatos,Tienda C,Femenino,1074,1,Proveedor A,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,3,0
2020-01-21,02:11:04.366091,Accesorios,Tienda B,No especificado,1006,1,Proveedor A,Gorra,New Era,10,1,10,0,1,2,2
2020-01-21,13:08:35.828957,Zapatos,Tienda C,Masculino,1073,0,Proveedor C,Botas de Invierno,Timberland,80,1,80,0,4,3,1
2020-01-22,00:06:07.291822,Pantalones,Online,Masculino,1032,0,Proveedor A,Jeans Slim,Slim Fit,40,1,40,0,3,0,1
2020-01-22,11:03:38.754688,Abrigos,Tienda C,No especificado,1022,0,Proveedor D,Abrigo Largo,Canada Goose,100,1,100,0,0,3,2
2020-01-22,22:01:10.217554,Zapatos,Tienda C,Femenino,1031,0,Proveedor D,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,3,0
2020-01-23,08:58:41.680420,Pantalones,Tienda A,No especificado,1009,1,Proveedor B,Pantalón Deportivo,Adidas,30,1,30,0,3,1,2
2020-01-23,19:56:13.143285,Pantalones,Tienda B,Femenino,1086,1,Proveedor B,Jeans Slim,Levis,40,1,40,0,3,2,0
2020-01-24,06:53:44.606151,Zapatos,Tienda C,Femenino,1063,0,Proveedor C,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,3,0
2020-01-24,17:51:16.069017,Camisetas,Tienda B,No especificado,1040,0,Proveedor D,Camiseta Deportiva,Nike,20,1,20,0,2,2,2
2020-01-25,04:48:47.531882,Pantalones,Tienda C,Masculino,1010,1,Proveedor D,Pantalón Deportivo,Adidas,30,1,30,0,3,3,1
2020-01-25,15:46:18.994748,Camisetas,Tienda B,No especificado,1060,1,Proveedor C,Camiseta Deportiva,Dri-FIT,20,1,20,0,2,2,2
2020-01-26,02:43:50.457614,Abrigos,Online,Masculino,1066,1,Proveedor D,Abrigo Largo,Canada Goose,100,1,100,0,0,0,1
2020-01-26,13:41:21.920480,Accesorios,Tienda B,Masculino,1047,1,Proveedor A,Bufanda,Check,12,1,12,0,1,2,1
2020-01-27,00:38:53.383345,Camisetas,Online,No especificado,1055,0,Proveedor A,Camiseta Casual,Uniqlo,25,1,25,0,2,0,2
2020-01-27,11:36:24.846211,Accesorios,Online,Masculino,1076,0,Proveedor A,Cinturón,Grant,15,1,15,0,1,0,1
2020-01-27,22:33:56.309077,Zapatos,Tienda B,No especificado,1060,1,Proveedor D,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,2,2
2020-01-28,09:31:27.771942,Zapatos,Tienda B,Masculino,1026,0,Proveedor A,Botas de Invierno,Timberland,80,1,80,0,4,2,1
2020-01-28,20:28:59.234808,Zapatos,Tienda C,No especificado,1032,1,Proveedor C,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,3,2
2020-01-29,07:26:30.697674,Accesorios,Tienda B,Masculino,1028,1,Proveedor B,Cinturón,Grant,15,1,15,0,1,2,1
2020-01-29,18:24:02.160540,Accesorios,Tienda C,No especificado,1037,0,Proveedor B,Cinturón,Grant,15,1,15,0,1,3,2
2020-01-30,05:21:33.623405,Abrigos,Online,No especificado,1040,1,Proveedor A,Sudadera con Capucha,Club Hoodie,35,1,35,0,0,0,2
2020-01-30,16:19:05.086271,Abrigos,Tienda A,No especificado,1012,0,Proveedor B,Chaqueta Ligera,Ascender,45,1,45,0,0,1,2
2020-01-31,03:16:36.549137,Camisetas,Tienda C,No especificado,1049,0,Proveedor A,Camiseta Básica,Gildan,15,1,15,0,2,3,2
2020-01-31,14:14:08.012003,Abrigos,Tienda A,Femenino,1077,1,Proveedor C,Abrigo Largo,Canada Goose,100,1,100,0,0,1,0
2020-02-01,01:11:39.474868,Camisetas,Tienda A,Femenino,1083,0,Proveedor B,Camiseta Casual,Uniqlo,25,1,25,0,2,1,0
2020-02-01,12:09:10.937734,Pantalones,Tienda A,No especificado,1075,0,Proveedor D,Pantalón Chino,Dockers,35,1,35,0,3,1,2
2020-02-01,23:06:42.400600,Camisetas,Tienda A,Masculino,1097,0,Proveedor A,Camiseta Casual,Uniqlo,25,1,25,0,2,1,1
2020-02-02,10:04:13.863465,Abrigos,Tienda C,Femenino,1042,0,Proveedor B,Chaqueta Ligera,Ascender,45,1,45,0,0,3,0
2020-02-02,21:01:45.326331,Pantalones,Online,No especificado,1021,1,Proveedor D,Pantalón Deportivo,Adidas,30,1,30,0,3,0,2
2020-02-03,07:59:16.789197,Pantalones,Tienda A,No especificado,1066,1,Proveedor B,Jeans Slim,Slim Fit,40,1,40,0,3,1,2
2020-02-03,18:56:48.252063,Camisetas,Tienda C,Masculino,1079,1,Proveedor D,Camiseta Casual,Uniqlo,25,1,25,0,2,3,1
2020-02-04,05:54:19.714928,Zapatos,Tienda C,No especificado,1040,1,Proveedor D,Zapatos Formales,Park Avenue,70,1,70,0,4,3,2
2020-02-04,16:51:51.177794,Abrigos,Online,Masculino,1010,1,Proveedor A,Abrigo Largo,Canada Goose,100,1,100,0,0,0,1
2020-02-05,03:49:22.640660,Accesorios,Online,Femenino,1011,0,Proveedor A,Cinturón,Grant,15,1,15,0,1,0,0
2020-02-05,14:46:54.103525,Pantalones,Online,No especificado,1067,1,Proveedor D,Pantalón Deportivo,Adidas,30,1,30,0,3,0,2
2020-02-06,01:44:25.566391,Accesorios,Tienda B,Femenino,1074,1,Proveedor D,Bufanda,Check,12,1,12,0,1,2,0
2020-02-06,12:41:57.029257,Pantalones,Tienda C,Femenino,1041,0,Proveedor A,Pantalón Chino,Dockers,35,1,35,0,3,3,0
2020-02-06,23:39:28.492123,Abrigos,Tienda A,Femenino,1050,0,Proveedor A,Chaqueta Ligera,Ascender,45,1,45,0,0,1,0
2020-02-07,10:36:59.954988,Abrigos,Tienda B,Masculino,1019,0,Proveedor D,Chaqueta Ligera,Ascender,45,1,45,0,0,2,1
2020-02-07,21:34:31.417854,Camisetas,Tienda B,No especificado,1066,1,Proveedor B,Camiseta Básica,Ultra Cotton,15,1,15,0,2,2,2
2020-02-08,08:32:02.880720,Zapatos,Online,Masculino,1031,1,Proveedor D,Botas de Invierno,Timberland,80,1,80,0,4,0,1
2020-02-08,19:29:34.343585,Zapatos,Tienda B,No especificado,1021,1,Proveedor D,Botas de Invierno,Timberland,80,1,80,0,4,2,2
2020-02-09,06:27:05.806451,Accesorios,Online,Femenino,1095,1,Proveedor C,Cinturón,Grant,15,1,15,0,1,0,0
2020-02-09,17:24:37.269317,Pantalones,Tienda C,No especificado,1029,0,Proveedor C,Pantalón Deportivo,Adidas,30,1,30,0,3,3,2
2020-02-10,04:22:08.732183,Camisetas,Tienda B,No especificado,1006,1,Proveedor D,Camiseta Deportiva,Nike,20,1,20,0,2,2,2
2020-02-10,15:19:40.195048,Accesorios,Tienda C,Masculino,1051,0,Proveedor B,Bufanda,Check,12,1,12,0,1,3,1
2020-02-11,02:17:11.657914,Accesorios,Tienda B,Femenino,1020,0,Proveedor B,Bufanda,Check,12,1,12,0,1,2,0
2020-02-11,13:14:43.120780,Abrigos,Online,Masculino,1000,0,Proveedor C,Sudadera con Capucha,Club Hoodie,35,1,35,0,0,0,1
2020-02-12,00:12:14.583645,Accesorios,Tienda A,No especificado,1090,0,Proveedor B,Gorra,New Era,10,1,10,0,1,1,2
2020-02-12,11:09:46.046511,Zapatos,Tienda A,No especificado,1088,1,Proveedor B,Botas de Invierno,Timberland,80,1,80,0,4,1,2
2020-02-12,22:07:17.509377,Pantalones,Tienda A,Femenino,1045,0,Proveedor B,Jeans Slim,Levis,40,1,40,0,3,1,0
2020-02-13,09:04:48.972243,Pantalones,Tienda B,Femenino,1023,1,Proveedor B,Jeans Slim,Levis,40,1,40,0,3,2,0
2020-02-13,20:02:20.435108,Abrigos,Tienda C,Femenino,1093,0,Proveedor C,Abrigo Largo,Canada Goose,100,1,100,0,0,3,0
2020-02-14,06:59:51.897974,Pantalones,Online,Masculino,1020,1,Proveedor C,Pantalón Chino,Dockers,35,1,35,0,3,0,1
2020-02-14,17:57:23.360840,Abrigos,Tienda A,No especificado,1014,1,Proveedor B,Sudadera con Capucha,Champion,35,1,35,0,0,1,2
2020-02-15,04:54:54.823705,Camisetas,Tienda C,Masculino,1093,1,Proveedor C,Camiseta Deportiva,Dri-FIT,20,1,20,0,2,3,1
2020-02-15,15:52:26.286571,Pantalones,Tienda A,Femenino,1019,1,Proveedor C,Jeans Slim,Slim Fit,40,1,40,0,3,1,0
2020-02-16,02:49:57.749437,Abrigos,Tienda B,Femenino,1000,1,Proveedor C,Sudadera con Capucha,Club Hoodie,35,1,35,0,0,2,0
2020-02-16,13:47:29.212303,Pantalones,Tienda B,No especificado,1025,0,Proveedor B,Pantalón Deportivo,Adidas,30,1,30,0,3,2,2
2020-02-17,00:45:00.675168,Accesorios,Tienda C,No especificado,1046,1,Proveedor C,Bufanda,Check,12,1,12,0,1,3,2
2020-02-17,11:42:32.138034,Abrigos,Tienda B,Masculino,1050,1,Proveedor A,Chaqueta Ligera,Ascender,45,1,45,0,0,2,1
2020-02-17,22:40:03.600900,Abrigos,Online,No especificado,1072,0,Proveedor B,Chaqueta Ligera,Ascender,45,1,45,0,0,0,2
2020-02-18,09:37:35.063765,Pantalones,Tienda A,No especificado,1037,1,Proveedor B,Jeans Slim,Levis,40,1,40,0,3,1,2
2020-02-18,20:35:06.526631,Abrigos,Tienda A,No especificado,1018,0,Proveedor C,Chaqueta Ligera,Ascender,45,1,45,0,0,1,2
2020-02-19,07:32:37.989497,Accesorios,Tienda B,Masculino,1001,1,Proveedor C,Gorra,New Era,10,1,10,0,1,2,1
2020-02-19,18:30:09.452363,Camisetas,Online,Masculino,1014,1,Proveedor C,Camiseta Deportiva,Dri-FIT,20,1,20,0,2,0,1
2020-02-20,05:27:40.915228,Camisetas,Tienda A,Femenino,1000,1,Proveedor C,Camiseta Deportiva,Nike,20,1,20,0,2,1,0
2020-02-20,16:25:12.378094,Accesorios,Online,No especificado,1036,0,Proveedor A,Bufanda,Check,12,1,12,0,1,0,2
2020-02-21,03:22:43.840960,Abrigos,Tienda B,Masculino,1080,0,Proveedor D,Chaqueta Ligera,Ascender,45,1,45,0,0,2,1
2020-02-21,14:20:15.303825,Accesorios,Tienda B,Femenino,1017,0,Proveedor D,Bufanda,Check,12,1,12,0,1,2,0
2020-02-22,01:17:46.766691,Zapatos,Tienda C,No especificado,1097,1,Proveedor B,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,3,2
2020-02-22,12:15:18.229557,Zapatos,Tienda A,Femenino,1054,0,Proveedor A,Botas de Invierno,Timberland,80,1,80,0,4,1,0
2020-02-22,23:12:49.692423,Abrigos,Tienda C,Femenino,1057,1,Proveedor A,Sudadera con Capucha,Club Hoodie,35,1,35,0,0,3,0
2020-02-23,10:10:21.155288,Accesorios,Tienda A,Femenino,1071,0,Proveedor A,Bufanda,Check,12,1,12,0,1,1,0
2020-02-23,21:07:52.618154,Abrigos,Tienda B,Femenino,1013,0,Proveedor D,Chaqueta Ligera,Ascender,45,1,45,0,0,2,0
2020-02-24,08:05:24.081020,Abrigos,Tienda C,No especificado,1091,1,Proveedor D,Sudadera con Capucha,Champion,35,1,35,0,0,3,2
2020-02-24,19:02:55.543885,Pantalones,Tienda A,No especificado,1029,1,Proveedor D,Pantalón Deportivo,Adidas,30,1,30,0,3,1,2
2020-02-25,06:00:27.006751,Zapatos,Tienda A,Masculino,1042,1,Proveedor D,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,1,1
2020-02-25,16:57:58.469617,Zapatos,Tienda A,No especificado,1065,1,Proveedor B,Botas de Invierno,Timberland,80,1,80,0,4,1,2
2020-02-26,03:55:29.932483,Abrigos,Online,No especificado,1063,1,Proveedor C,Chaqueta Ligera,Ascender,45,1,45,0,0,0,2
2020-02-26,14:53:01.395348,Accesorios,Tienda A,Femenino,1020,1,Proveedor A,Bufanda,Check,12,1,12,0,1,1,0
2020-02-27,01:50:32.858214,Accesorios,Tienda C,No especificado,1076,1,Proveedor C,Bufanda,Check,12,1,12,0,1,3,2
2020-02-27,12:48:04.321080,Camisetas,Tienda A,No especificado,1010,1,Proveedor C,Camiseta Casual,Uniqlo,25,1,25,0,2,1,2
2020-02-27,23:45:35.783945,Zapatos,Tienda B,No especificado,1085,0,Proveedor D,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,2,2
2020-02-28,10:43:07.246811,Pantalones,Tienda C,Masculino,1032,1,Proveedor D,Pantalón Chino,Dockers,35,1,35,0,3,3,1
2020-02-28,21:40:38.709677,Pantalones,Tienda B,No especificado,1057,1,Proveedor D,Jeans Slim,Levis,40,1,40,0,3,2,2
2020-02-29,08:38:10.172543,Abrigos,Tienda A,Femenino,1075,1,Proveedor B,Sudadera con Capucha,Champion,35,1,35,0,0,1,0
2020-02-29,19:35:41.635408,Abrigos,Tienda C,Masculino,1010,1,Proveedor C,Sudadera con Capucha,Club Hoodie,35,1,35,0,0,3,1
2020-03-01,06:33:13.098274,Accesorios,Tienda B,Femenino,1075,1,Proveedor B,Cinturón,Grant,15,1,15,0,1,2,0
2020-03-01,17:30:44.561140,Zapatos,Tienda A,Masculino,1075,1,Proveedor D,Botas de Invierno,Timberland,80,1,80,0,4,1,1
2020-03-02,04:28:16.024006,Abrigos,Online,Femenino,1035,0,Proveedor B,Abrigo Largo,Langford Parka,100,1,100,0,0,0,0
2020-03-02,15:25:47.486871,Camisetas,Tienda C,No especificado,1016,0,Proveedor A,Camiseta Básica,Gildan,15,1,15,0,2,3,2
2020-03-03,02:23:18.949737,Abrigos,Tienda A,Femenino,1078,0,Proveedor A,Chaqueta Ligera,Ascender,45,1,45,0,0,1,0
2020-03-03,13:20:50.412603,Zapatos,Tienda A,Femenino,1096,0,Proveedor A,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,1,0
2020-03-04,00:18:21.875468,Accesorios,Tienda B,Masculino,1010,1,Proveedor C,Gorra,New Era,10,1,10,0,1,2,1
2020-03-04,11:15:53.338334,Accesorios,Tienda C,No especificado,1063,1,Proveedor B,Gorra,New Era,10,1,10,0,1,3,2
2020-03-04,22:13:24.801200,Abrigos,Online,No especificado,1050,1,Proveedor B,Sudadera con Capucha,Club Hoodie,35,1,35,0,0,0,2
2020-03-05,09:10:56.264066,Accesorios,Online,No especificado,1059,0,Proveedor D,Bufanda,Check,12,1,12,0,1,0,2
2020-03-05,20:08:27.726931,Pantalones,Tienda A,Femenino,1002,0,Proveedor C,Pantalón Deportivo,Adidas,30,1,30,0,3,1,0
2020-03-06,07:05:59.189797,Pantalones,Tienda A,No especificado,1068,0,Proveedor C,Pantalón Deportivo,Adidas,30,1,30,0,3,1,2
2020-03-06,18:03:30.652663,Camisetas,Tienda A,Femenino,1009,1,Proveedor C,Camiseta Deportiva,Nike,20,1,20,0,2,1,0
2020-03-07,05:01:02.115528,Accesorios,Tienda C,No especificado,1051,1,Proveedor A,Cinturón,Grant,15,1,15,0,1,3,2
2020-03-07,15:58:33.578394,Zapatos,Tienda A,Femenino,1038,0,Proveedor A,Zapatos Formales,Park Avenue,70,1,70,0,4,1,0
2020-03-08,02:56:05.041260,Abrigos,Online,Masculino,1091,1,Proveedor B,Sudadera con Capucha,Club Hoodie,35,1,35,0,0,0,1
2020-03-08,13:53:36.504126,Camisetas,Tienda C,Masculino,1059,1,Proveedor C,Camiseta Deportiva,Nike,20,1,20,0,2,3,1
2020-03-09,00:51:07.966991,Abrigos,Tienda C,No especificado,1029,1,Proveedor A,Chaqueta Ligera,Ascender,45,1,45,0,0,3,2
2020-03-09,11:48:39.429857,Abrigos,Tienda C,Femenino,1006,1,Proveedor C,Sudadera con Capucha,Champion,35,1,35,0,0,3,0
2020-03-09,22:46:10.892723,Pantalones,Tienda B,Femenino,1085,1,Proveedor A,Jeans Slim,Levis,40,1,40,0,3,2,0
2020-03-10,09:43:42.355588,Camisetas,Tienda C,Masculino,1009,1,Proveedor B,Camiseta Casual,Uniqlo,25,1,25,0,2,3,1
2020-03-10,20:41:13.818454,Zapatos,Tienda C,No especificado,1028,1,Proveedor C,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,3,2
2020-03-11,07:38:45.281320,Zapatos,Online,Femenino,1014,1,Proveedor C,Botas de Invierno,Timberland,80,1,80,0,4,0,0
2020-03-11,18:36:16.744186,Camisetas,Tienda B,Femenino,1087,1,Proveedor D,Camiseta Básica,Hanes,15,1,15,0,2,2,0
2020-03-12,05:33:48.207051,Camisetas,Tienda B,No especificado,1033,1,Proveedor C,Camiseta Básica,Ultra Cotton,15,1,15,0,2,2,2
2020-03-12,16:31:19.669917,Accesorios,Tienda A,Masculino,1005,0,Proveedor C,Gorra,New Era,10,1,10,0,1,1,1
2020-03-13,03:28:51.132783,Accesorios,Tienda C,No especificado,1042,1,Proveedor B,Cinturón,Grant,15,1,15,0,1,3,2
2020-03-13,14:26:22.595648,Accesorios,Tienda A,No especificado,1097,1,Proveedor A,Bufanda,Check,12,1,12,0,1,1,2
2020-03-14,01:23:54.058514,Zapatos,Online,Femenino,1096,1,Proveedor B,Botas de Invierno,Timberland,80,1,80,0,4,0,0
2020-03-14,12:21:25.521380,Abrigos,Tienda A,Femenino,1061,0,Proveedor A,Abrigo Largo,Langford Parka,100,1,100,0,0,1,0
2020-03-14,23:18:56.984246,Zapatos,Tienda B,No especificado,1065,1,Proveedor C,Botas de Invierno,Timberland,80,1,80,0,4,2,2
2020-03-15,10:16:28.447111,Camisetas,Tienda C,Femenino,1047,1,Proveedor B,Camiseta Básica,Hanes,15,1,15,0,2,3,0
2020-03-15,21:13:59.909977,Abrigos,Tienda A,No especificado,1070,0,Proveedor D,Chaqueta Ligera,Ascender,45,1,45,0,0,1,2
2020-03-16,08:11:31.372843,Zapatos,Tienda A,Femenino,1034,1,Proveedor A,Zapatos Formales,Park Avenue,70,1,70,0,4,1,0
2020-03-16,19:09:02.835708,Accesorios,Online,No especificado,1018,1,Proveedor B,Gorra,New Era,10,1,10,0,1,0,2
2020-03-17,06:06:34.298574,Abrigos,Online,Femenino,1064,1,Proveedor A,Sudadera con Capucha,Club Hoodie,35,1,35,0,0,0,0
2020-03-17,17:04:05.761440,Abrigos,Tienda C,No especificado,1045,1,Proveedor C,Sudadera con Capucha,Club Hoodie,35,1,35,0,0,3,2
2020-03-18,04:01:37.224306,Camisetas,Tienda C,Femenino,1052,1,Proveedor C,Camiseta Básica,Ultra Cotton,15,1,15,0,2,3,0
2020-03-18,14:59:08.687171,Pantalones,Tienda C,Masculino,1036,1,Proveedor A,Jeans Slim,Slim Fit,40,1,40,0,3,3,1
2020-03-19,01:56:40.150037,Abrigos,Online,Masculino,1003,1,Proveedor A,Abrigo Largo,Langford Parka,100,1,100,0,0,0,1
2020-03-19,12:54:11.612903,Abrigos,Tienda C,Femenino,1091,1,Proveedor A,Abrigo Largo,Langford Parka,100,1,100,0,0,3,0
2020-03-19,23:51:43.075768,Accesorios,Online,Femenino,1089,0,Proveedor C,Cinturón,Grant,15,1,15,0,1,0,0
2020-03-20,10:49:14.538634,Accesorios,Tienda B,Masculino,1058,0,Proveedor B,Bufanda,Check,12,1,12,0,1,2,1
2020-03-20,21:46:46.001500,Pantalones,Tienda A,Femenino,1057,1,Proveedor C,Jeans Slim,Slim Fit,40,1,40,0,3,1,0
2020-03-21,08:44:17.464366,Camisetas,Online,Masculino,1053,0,Proveedor C,Camiseta Básica,Hanes,15,1,15,0,2,0,1
2020-03-21,19:41:48.927231,Camisetas,Tienda A,No especificado,1092,1,Proveedor C,Camiseta Básica,Gildan,15,1,15,0,2,1,2
2020-03-22,06:39:20.390097,Accesorios,Tienda A,No especificado,1053,1,Proveedor D,Cinturón,Grant,15,1,15,0,1,1,2
2020-03-22,17:36:51.852963,Camisetas,Online,Masculino,1073,1,Proveedor A,Camiseta Deportiva,Dri-FIT,20,1,20,0,2,0,1
2020-03-23,04:34:23.315828,Zapatos,Tienda C,No especificado,1061,1,Proveedor C,Zapatos Formales,Allen Edmonds,70,1,70,0,4,3,2
2020-03-23,15:31:54.778694,Camisetas,Tienda B,Masculino,1008,0,Proveedor A,Camiseta Casual,Uniqlo,25,1,25,0,2,2,1
2020-03-24,02:29:26.241560,Pantalones,Tienda B,No especificado,1008,1,Proveedor A,Pantalón Deportivo,Adidas,30,1,30,0,3,2,2
2020-03-24,13:26:57.704426,Zapatos,Online,Masculino,1074,1,Proveedor B,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,0,1
2020-03-25,00:24:29.167291,Accesorios,Tienda B,Masculino,1083,1,Proveedor C,Bufanda,Check,12,1,12,0,1,2,1
2020-03-25,11:22:00.630157,Pantalones,Tienda B,No especificado,1089,1,Proveedor D,Pantalón Chino,Dockers,35,1,35,0,3,2,2
2020-03-25,22:19:32.093023,Camisetas,Tienda B,No especificado,1023,1,Proveedor B,Camiseta Básica,Ultra Cotton,15,1,15,0,2,2,2
2020-03-26,09:17:03.555888,Abrigos,Online,No especificado,1050,1,Proveedor D,Chaqueta Ligera,Ascender,45,1,45,0,0,0,2
2020-03-26,20:14:35.018754,Camisetas,Online,Masculino,1060,1,Proveedor D,Camiseta Casual,Uniqlo,25,1,25,0,2,0,1
